owner_id,car_make,car_model,mileage,year,engine_size,transmission,created,description,price,fuel_type,seats,torque,image_1,image_2,image_3,image_4,image_5,image_6,id
alice,Acura,NSX Type S,50000,1999,"3,493 cc",manual,2026-04-18 16:45,This is a great car!,157000,Petrol,2,666,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a716-446655440000
alice,Acura,TLX PMC Edition,50000,1999,"3,500 cc",manual,2026-04-19 16:45,This is a great car!,62000,Petrol,5,362,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a716-446655440001
alice,Acura,MDX Advance,50000,1999,"3,500 cc",manual,2026-04-20 16:45,This is a great car!,60000,Petrol,7,362,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a716-446655440002
alice,Acura,RDX Technology,50000,1999,"1,500 cc",manual,2026-04-21 16:45,This is a great car!,45000,Petrol,5,400,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a716-446655440003
alice,ASTON MARTIN,VICTOR,50000,1999,"5,204 cc",manual,2026-04-22 16:45,This is a great car!,1300000,Petrol,2,821,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a716-446655440004
alice,AUDI,AUDI R8 Gt,50000,1999,"5,204 cc",manual,2026-04-23 16:45,This is a great car!,253290,Petrol,2,560,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a716-446655440005
alice,AUDI,R8 V10 PLUS,50000,1999,"5,204 cc",manual,2026-04-24 16:45,This is a great car!,194000,Petrol,2,560,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a716-446655440006
alice,AUDI,TT COUPE,50000,1999,"1,984 cc",manual,2026-04-25 16:45,This is a great car!,49000,Petrol,2,400,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a716-446655440007
alice,BENTLEY,Continental GT Azure,50000,1999,"3,996 cc",manual,2026-04-26 16:45,This is a great car!,311000,Petrol,4,900,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a716-446655440008
alice,BMW,Mclaren 720s,50000,1999,"3,994 cc",manual,2026-04-27 16:45,This is a great car!,499000,Petrol,2,770,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a716-446655440009
alice,BMW,M5 CS,50000,1999,"4,395 cc",manual,2026-04-28 16:45,This is a great car!,142000,Petrol,5,750,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a717-446655440000
alice,BMW,M4 GTS,50000,1999,"2,993 cc",manual,2026-04-29 16:45,This is a great car!,133000,Petrol,4,600,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a717-446655440001
alice,BMW,M3 COMPETITION,50000,1999,"2,993 cc",manual,2026-04-30 16:45,This is a great car!,76000,Petrol,5,650,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a717-446655440002
alice,Bugatti,Bolide,50000,1999,7993 cc,manual,2026-05-01 16:45,This is a great car!,4500000,Petrol,2,1600,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a717-446655440003
alice,Bugatti,Mistral,50000,1999,7993 cc,manual,2026-05-02 16:45,This is a great car!,5000000,Petrol,2,1600,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a717-446655440004
bob,Cadillac,CT4,50000,1999,2000 cc,manual,2026-05-03 16:45,This is a great car!,34395,Petrol,5,350,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a717-446655440005
bob,Cadillac,CT4-V,50000,1999,2700 cc,manual,2026-05-04 16:45,This is a great car!,46595,Petrol,5,500,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a717-446655440006
bob,Cadillac,CT5,50000,1999,2000 cc,manual,2026-05-05 16:45,This is a great car!,38195,Petrol,5,350,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a717-446655440007
bob,Cadillac,CT5-V,50000,1999,3000 cc,manual,2026-05-06 16:45,This is a great car!,50995,Petrol,5,550,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a717-446655440008
bob,Chevrolet,Silverado 1500 Custom,50000,1999,4300 cc,manual,2026-05-07 16:45,This is a great car!,34900,Petrol,6,413,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a717-446655440009
bob,Chevrolet,Silverado 2500HD LTZ,50000,1999,6600 cc,manual,2026-05-08 16:45,This is a great car!,56400,Diesel,6,1234,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a718-446655440000
bob,Chevrolet,Tahoe RST,50000,1999,5300 cc,manual,2026-05-09 16:45,This is a great car!,64100,Petrol,7,519,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a718-446655440001
bob,Chevrolet,Suburban LT,50000,1999,5300 cc,manual,2026-05-10 16:45,This is a great car!,64400,Petrol,8,519,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a718-446655440002
bob,Chevrolet,Bolt EV Premier,50000,1999,66 kWh,automatic,2026-05-11 16:45,This is a great car!,31700,Electric,5,360,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a718-446655440003
bob,Chevrolet,Tahoe LS,50000,1999,5300 cc,automatic,2026-05-12 16:45,This is a great car!,56995,Petrol,8,519,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a718-446655440004
bob,Chevrolet,Tahoe LT,50000,1999,5300 cc,automatic,2026-05-13 16:45,This is a great car!,62495,Petrol,8,519,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a718-446655440005
bob,Chevrolet,Tahoe RST,50000,1999,5300 cc,automatic,2026-05-14 16:45,This is a great car!,64100,Petrol,7,519,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a718-446655440006
bob,Chevrolet,Tahoe Z71,50000,1999,5300 cc,automatic,2026-05-15 16:45,This is a great car!,66700,Petrol,7,519,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a718-446655440007
bob,Chevrolet,Tahoe Premier,50000,1999,6200 cc,automatic,2026-05-16 16:45,This is a great car!,71600,Petrol,7,624,Placeholder_00001.jpg,Placeholder_00002.jpg,Placeholder_00003.jpg,Placeholder_00004.jpg,Placeholder_00005.jpg,Placeholder_00006.jpg,550e8400-e29b-41d4-a718-446655440008
